"","Row.names","log2FoldChange","padj","Factor","trans"
"172","ko:K03236",-0.791118672121663,0.48626895725984,"Menthol_Menthol_vs_Control","TRINITY_DN9142_c0_g1_i1"
"173","ko:K03246",0.337460562620321,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7723_c0_g1_i1"
"174","ko:K03246",0.337460562620321,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7723_c0_g2_i1"
"175","ko:K03247",-0.311496503055692,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8464_c0_g1_i1"
"176","ko:K03283",-0.343473359059275,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9405_c0_g1_i2"
"177","ko:K03283",-0.343473359059275,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN9405_c0_g1_i1"
"178","ko:K03521",0.196253943025007,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7401_c0_g1_i1"
"179","ko:K03522",-0.76962393445794,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN7111_c0_g1_i1"
"180","ko:K03626",-0.0984515400692577,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8390_c0_g1_i1"
"181","ko:K03661",-1.49026744454474,0.908181773245705,"Menthol_Menthol_vs_Control","TRINITY_DN9092_c0_g1_i1"
"182","ko:K03872",0.385413810871339,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN1698_c0_g1_i1"
"183","ko:K03872",0.385413810871339,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN1698_c0_g2_i1"
"184","ko:K03872",0.385413810871339,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN1698_c0_g3_i1"
"185","ko:K03873",0.00210046132355665,0.99841623030614,"Menthol_Menthol_vs_Control","TRINITY_DN8603_c0_g1_i1"
"186","ko:K03873",0.00210046132355665,0.99841623030614,"Menthol_Menthol_vs_Control","TRINITY_DN8603_c0_g1_i2"
"187","ko:K03936",0.293770905812085,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN15399_c0_g1_i1"
"188","ko:K03942",-0.0141149780419952,0.99841623030614,"Menthol_Menthol_vs_Control","TRINITY_DN6550_c0_g1_i1"
"189","ko:K03943",0.807841435161434,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN6530_c0_g1_i1"
"190","ko:K04043",0.6556801207814,0.945222884667638,"Menthol_Menthol_vs_Control","TRINITY_DN8020_c0_g1_i1"
