"","log2FoldChange","padj","Factor"
"ko:K20302",0.0521551693952134,0.97083570842867,"Menthol_Menthol_vs_Control"
"ko:K20346",-1.11571583513599,0.821996626972172,"Menthol_Menthol_vs_Control"
"ko:K20347",-0.66309942007355,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K20350",-1.57230803715963,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K20352",0.0868702810536832,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K20369",0.605457161414235,0.0163413382311019,"Menthol_Menthol_vs_Control"
"ko:K20398",0.449913876768163,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K20399",-1.46876160142225,0.921136314961085,"Menthol_Menthol_vs_Control"
"ko:K20472",0.396033386933217,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K21870",-0.509372184757786,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K21891",-0.895614107877748,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K22069",0.576073725392592,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K22390",-0.411191707007347,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K22503",-0.352239104311637,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K22556",-2.5198977888506,0.48439170483148,"Menthol_Menthol_vs_Control"
"ko:K22939",-0.439717266499001,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K23034",-2.02601989146655,0.945222884667638,"Menthol_Menthol_vs_Control"
"ko:K000241",-0.985940541273539,0.519425431101626,"Vibrio_Vibrio_vs_Control"
"ko:K000311",-0.135069282378692,0.932647886070796,"Vibrio_Vibrio_vs_Control"
"ko:K001281",-0.0680541315631915,0.932647886070796,"Vibrio_Vibrio_vs_Control"
"ko:K001341",-0.917767694365229,0.578304357386594,"Vibrio_Vibrio_vs_Control"
"ko:K001401",1.1865325470704,0.3458751056309,"Vibrio_Vibrio_vs_Control"
"ko:K002071",-0.387664264264263,0.836140728995553,"Vibrio_Vibrio_vs_Control"
"ko:K002351",-0.964005566079419,0.183176855000473,"Vibrio_Vibrio_vs_Control"
"ko:K002491",-3.0129794642048,NA,"Vibrio_Vibrio_vs_Control"
"ko:K002621",-0.624315196093118,0.561911276983734,"Vibrio_Vibrio_vs_Control"
"ko:K003311",0.774735201167612,0.533941415908843,"Vibrio_Vibrio_vs_Control"
"ko:K003331",-0.283871627370068,0.769787235968231,"Vibrio_Vibrio_vs_Control"
"ko:K003381",0.972409280573026,NA,"Vibrio_Vibrio_vs_Control"
"ko:K003571",-1.72161914101002,NA,"Vibrio_Vibrio_vs_Control"
"ko:K004111",-0.110890498326313,0.776849989170325,"Vibrio_Vibrio_vs_Control"
"ko:K004131",0.551318834215029,NA,"Vibrio_Vibrio_vs_Control"
"ko:K004561",-0.696958206933343,0.519425431101626,"Vibrio_Vibrio_vs_Control"
"ko:K004691",-0.553185774123361,0.0494456246161113,"Vibrio_Vibrio_vs_Control"
"ko:K005001",-0.187732933003585,0.866100869155914,"Vibrio_Vibrio_vs_Control"
"ko:K005221",-0.297312375218454,0.61496745386478,"Vibrio_Vibrio_vs_Control"
"ko:K005441",0.473530471527225,0.891171571703495,"Vibrio_Vibrio_vs_Control"
"ko:K006161",1.0660175264815,NA,"Vibrio_Vibrio_vs_Control"
"ko:K006431",1.44002405534232,2.8630871377371e-05,"Vibrio_Vibrio_vs_Control"
"ko:K007991",-1.03839821715075,0.533941415908843,"Vibrio_Vibrio_vs_Control"
"ko:K008141",-0.481083018695078,NA,"Vibrio_Vibrio_vs_Control"
"ko:K008191",-0.117801156285647,0.861862822999657,"Vibrio_Vibrio_vs_Control"
"ko:K008561",1.34105002213163,0.288590893565917,"Vibrio_Vibrio_vs_Control"
"ko:K009331",-0.593306500997253,0.518313872040415,"Vibrio_Vibrio_vs_Control"
"ko:K009391",0.94047982613473,0.160316063869423,"Vibrio_Vibrio_vs_Control"
"ko:K009401",-0.75835371595587,0.550671003605427,"Vibrio_Vibrio_vs_Control"
